id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
54153656,Camera privata Bologna,438522860,Federico,,Santo Stefano,44.49288,11.35074,Private room,76,1,2,2023-02-19,0.10,3,340,0,
54194640,Stanza Bologna con bagno condiviso,438522860,Federico,,Santo Stefano,44.49233,11.3525,Private room,81,2,3,2023-03-08,0.12,3,322,0,
54194666,"Casa Naldi, Mazzini",439401597,Elena,,Santo Stefano,44.48881,11.35753,Entire home/apt,91,2,49,2024-03-09,1.95,1,250,35,
54239152,a quattro passi dal centro,64005874,Marco,,Navile,44.52158,11.34005,Entire home/apt,143,2,43,2023-10-22,1.69,1,0,21,
54261786,La casa di Sacco - Appartamento Bologna Centro,440028023,Paolo,,Santo Stefano,44.48925,11.35512,Entire home/apt,81,3,12,2023-08-27,0.52,1,261,3,
54286214,Nel Sole bilocale Righi,99322914,Alina,,Santo Stefano,44.49861,11.34541,Entire home/apt,124,2,21,2023-09-14,0.82,5,37,2,037006-CV-00277
54286709,apartment with 2 bed rooms Nel Sole,99322914,Alina,,Santo Stefano,44.49941,11.34523,Entire home/apt,173,1,36,2024-01-03,1.47,5,49,16,037006-CV-00277
54288076,Artigiano 7 - Your holiday house in Bologna,12983974,Anna,,San Donato - San Vitale,44.50268929203138,11.36597097672118,Entire home/apt,71,1,9,2024-03-21,2.52,1,144,9,037006-AF-00653
54390477,A casa di Mario,87047759,Mini,,Navile,44.5159,11.34685,Private room,89,1,24,2023-11-26,1.16,1,319,14,037006-BB-01074 B05613
54407416,Bologna Saragozza District Apartment,132464778,Welcome To Emilia Romagna & Marche!,,Porto - Saragozza,44.48875,11.32228,Entire home/apt,78,1,37,2024-02-23,1.49,86,323,16,037006-CV-00198
54408801,500mt to Certosa Classic Apartment,132464778,Welcome To Emilia Romagna & Marche!,,Porto - Saragozza,44.49551,11.31565,Entire home/apt,49,1,17,2024-03-17,0.74,86,330,10,037006-CV-00198
546168253174284813,Nice apartment between the Fair and the Centre,441722365,Massimiliano,,San Donato - San Vitale,44.50512,11.36275,Entire home/apt,126,1,98,2024-03-24,3.75,1,182,42,Protocollo Generale Numero 21300 del 16/01/2022
551216308426028478,Design loft,16606040,Alexandra,,Porto - Saragozza,44.50198,11.33762,Entire home/apt,147,2,192,2024-03-17,8.74,2,0,103,037006-AT-02236
551286667369636316,Fun & relax in via Arno,85300430,Andrea,,Savena,44.47556686401367,11.389577865600586,Entire home/apt,83,2,4,2023-05-18,0.30,1,100,2,
551350011402046518,Casa Agnesi Bologna,442792744,Giacomo,,San Donato - San Vitale,44.48654556274414,11.37130069732666,Entire home/apt,98,1,5,2024-03-23,0.23,1,335,1,
551895527457997797,Casa Ellie - Sant'Orsola,441872796,Margherita,,San Donato - San Vitale,44.49204,11.36932,Entire home/apt,107,3,68,2024-02-21,2.65,1,183,28,037006-AT-02101
552585019160254276,Iris Home - All' Osp. Maggiore a 10 min dal Cento,7441756,Benedetto Raffaello,,Porto - Saragozza,44.49865,11.31317,Entire home/apt,138,1,7,2023-09-02,0.34,19,253,3,
